character,short description,tags,LLM description
🥇,1ST PLACE MEDAL,"['first place' 'victory' 'achievement' 'success' 'competition' 'winner'
'award']","This emoji represents a first place medal, often used to symbolize victory, achievement, and being the best in a competition or event."
🥈,2ND PLACE MEDAL,['medal' 'silver' 'second place' 'achievement' 'success' 'ranking'],"This emoji represents a silver medal, often used to symbolize coming in second place or achieving a high level of success."
🥉,3RD PLACE MEDAL,"['medal' 'bronze' 'third place' 'achievement' 'sports' 'competition'
 'recognition']","This emoji represents a bronze medal, symbolizing third place or a commendable achievement, often used in sports and competitions to recognize participants' efforts and accomplishments."
🆎,AB BUTTON (BLOOD TYPE),['blood type' 'AB' 'medical' 'compatibility' 'transfusion' 'symbol'],"This emoji represents the AB blood type symbol, often used in medical contexts or when discussing blood transfusions and compatibility."
🏧,ATM SIGN,['ATM' 'banking' 'finance' 'money' 'transaction' 'location'],"This emoji represents an ATM sign, often used to indicate a location where people can withdraw cash or perform banking transactions."
🅰️,A BUTTON (BLOOD TYPE),['blood type' 'letter' 'beginning' 'first letter' 'alphabet' 'A'],"This emoji represents the letter 'A', commonly used to indicate blood type, and can also symbolize the beginning or first letter of a word or name."
🅰,A BUTTON (BLOOD TYPE),['blood type' 'letter A' 'beginning' 'first letter' 'symbol' 'medical'],"This emoji represents the letter 'A', commonly used to indicate blood type, specifically for blood type A, and can also symbolize the beginning or first letter of a word or phrase."
🇦🇫,AFGHANISTAN,['Afghanistan' 'flag' 'South Asia' 'culture' 'history' 'landscape'],"This emoji represents Afghanistan, a country in South Asia known for its rich history, diverse cultures, and stunning landscapes, including the Hindu Kush mountains."
🇦🇱,ALBANIA,['Albania' 'flag' 'Europe' 'culture' 'heritage'],"This emoji represents Albania, a southeastern European country known for its rich history, stunning landscapes, and unique cultural heritage."
🇩🇿,ALGERIA,['Algeria' 'flag' 'North Africa' 'culture' 'history'],"This emoji represents Algeria, a North African country known for its rich history, diverse landscapes, and vibrant culture influenced by various civilizations throughout the ages."
🇦🇸,AMERICAN SAMOA,"['American Samoa' 'flag' 'Polynesian' 'culture' 'United States'
 'territory']","This emoji represents American Samoa, a territory of the United States located in the South Pacific, known for its unique blend of Polynesian culture and American influence."
🇦🇩,ANDORRA,['Andorra' 'flag' 'Europe' 'mountains' 'culture' 'skiing'],"This emoji represents Andorra, a small European country known for its stunning mountain landscapes, rich cultural heritage, and popular ski resorts."
🇦🇴,ANGOLA,['Angola' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Angola, a West African country known for its rich culture, diverse landscapes, and a tumultuous history marked by colonialism and civil war."
🇦🇮,ANGUILLA,"['Anguilla' 'flag' 'island' 'British Overseas Territory' 'Caribbean'
 'beach' 'culture']","This emoji represents Anguilla, a British Overseas Territory known for its stunning beaches, vibrant marine life, and rich cultural heritage."
🇦🇶,ANTARCTICA,['Antarctica' 'continent' 'cold' 'ice' 'wildlife' 'penguins' 'seals'],"This emoji represents Antarctica, the Earth's southernmost continent known for its extreme cold, ice, and unique wildlife, such as penguins and seals."
🇦🇬,ANTIGUA & BARBUDA,['Antigua and Barbuda' 'flag' 'Caribbean' 'culture' 'travel' 'island'],"This emoji represents Antigua and Barbuda, a twin-island country in the West Indies known for its beautiful beaches, vibrant culture, and rich history."
♒,AQUARIUS,"['Aquarius' 'zodiac' 'astrology' 'creativity' 'intelligence'
 'independence']","This emoji represents Aquarius, the eleventh sign in the zodiac, symbolizing creativity, intelligence, and independence, often associated with people born between January 20 and February 18."
🇦🇷,ARGENTINA,['Argentina' 'flag' 'South America' 'culture' 'football'],"This emoji represents Argentina, a South American country known for its vibrant culture, beautiful landscapes, and passionate football fans."
♈,ARIES,['Aries' 'zodiac' 'astrology' 'courage' 'leadership' 'passion'],"This emoji represents Aries, the first astrological sign of the zodiac, symbolizing courage, leadership, and passion, often used to express personality traits or to indicate a person's zodiac sign."
🇦🇲,ARMENIA,['Armenia' 'flag' 'culture' 'history' 'South Caucasus'],"This emoji represents Armenia, a country in South Caucasus known for its rich history, ancient architecture, and cultural heritage, including the Armenian Genocide and the Armenian Apostolic Church."
🇦🇼,ARUBA,['Aruba' 'flag' 'island' 'Caribbean' 'culture' 'beach'],"This emoji represents Aruba, a Caribbean island known for its beautiful beaches, vibrant culture, and rich history."
🇦🇨,ASCENSION ISLAND,"['Ascension Island' 'flag' 'British Overseas Territory' 'wildlife'
 'South Atlantic Ocean' 'travel']","This emoji represents Ascension Island, a British Overseas Territory known for its unique wildlife, strategic location in the South Atlantic Ocean, and as a stopover for travelers between Africa and South America."
🇦🇺,AUSTRALIA,['Australia' 'flag' 'culture' 'nature' 'wildlife' 'travel' 'Indigenous'],"This emoji represents Australia, a country known for its unique wildlife, beautiful landscapes, and diverse cultures, including Indigenous Australian heritage and the Australian way of life."
🇦🇹,AUSTRIA,['Austria' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Austria, a Central European country known for its rich history, beautiful landscapes, and contributions to music and arts, including the famous composer Wolfgang Amadeus Mozart."
🇦🇿,AZERBAIJAN,['Azerbaijan' 'flag' 'culture' 'history' 'geography' 'South Caucasus'],"This emoji represents Azerbaijan, a country in the South Caucasus region, known for its rich history, diverse culture, and beautiful landscapes, including the Caspian Sea and the Greater Caucasus Mountains."
🔙,BACK ARROW,['back' 'arrow' 'navigation' 'return' 'previous' 'direction'],"This emoji represents a back arrow, often used to indicate going back, returning, or navigating to a previous page or menu."
🅱️,B BUTTON (BLOOD TYPE),['blood type' 'medical' 'donation' 'transfusion' 'symbol' 'B'],"This emoji represents the 'B' blood type symbol, often used in medical contexts or when discussing blood donation and transfusions."
